"Row_no" "Date" "Detrended_demand_GWh"
"495" "1976-05-09" "724"
"496" "1976-05-10" "714"
"497" "1976-05-11" "760"
"498" "1976-05-12" "780"
"499" "1976-05-13" "771"
"500" "1976-05-14" "756"
"501" "1976-05-15" "748"
"502" "1976-05-16" "748"
"503" "1976-05-17" "739"
"504" "1976-05-18" "749"
"505" "1976-05-19" "775"
"506" "1976-05-20" "784"
"507" "1976-05-21" "763"
"508" "1976-05-22" "741"
"509" "1976-05-23" "742"
"510" "1976-05-24" "720"
"511" "1976-05-25" "759"
"512" "1976-05-26" "768"
"513" "1976-05-27" "756"
"514" "1976-05-28" "745"
"515" "1976-05-29" "733"
"516" "1976-05-30" "722"
"517" "1976-05-31" "710"
"518" "1976-06-01" "699"
"519" "1976-06-02" "688"
"520" "1976-06-03" "676"
"521" "1976-06-04" "669"
"522" "1976-06-05" "682"
"523" "1976-06-06" "683"
"524" "1976-06-07" "697"
"525" "1976-06-08" "713"
"526" "1976-06-09" "717"
"527" "1976-06-10" "726"
"528" "1976-06-11" "724"
"529" "1976-06-12" "716"
"530" "1976-06-13" "716"
"531" "1976-06-14" "708"
"532" "1976-06-15" "732"
"533" "1976-06-16" "750"
"534" "1976-06-17" "753"
"535" "1976-06-18" "738"
"536" "1976-06-19" "729"
"537" "1976-06-20" "729"
"538" "1976-06-21" "720"
"539" "1976-06-22" "728"
"540" "1976-06-23" "724"
"541" "1976-06-24" "721"
"542" "1976-06-25" "708"
"543" "1976-06-26" "701"
"544" "1976-06-27" "702"
"545" "1976-06-28" "695"
"546" "1976-06-29" "710"
"547" "1976-06-30" "713"
"548" "1976-07-01" "715"
"549" "1976-07-02" "700"
"550" "1976-07-03" "696"
"551" "1976-07-04" "696"
"552" "1976-07-05" "692"
"553" "1976-07-06" "710"
"554" "1976-07-07" "713"
"555" "1976-07-08" "716"
"556" "1976-07-09" "714"
"557" "1976-07-10" "710"
"558" "1976-07-11" "710"
"559" "1976-07-12" "706"
"560" "1976-07-13" "727"
"561" "1976-07-14" "722"
"562" "1976-07-15" "730"
"563" "1976-07-16" "714"
"564" "1976-07-17" "709"
"565" "1976-07-18" "709"
"566" "1976-07-19" "704"
"567" "1976-07-20" "717"
"568" "1976-07-21" "716"
"569" "1976-07-22" "714"
"570" "1976-07-23" "695"
"571" "1976-07-24" "672"
"572" "1976-07-25" "672"
"573" "1976-07-26" "648"
"574" "1976-07-27" "652"
"575" "1976-07-28" "651"
"576" "1976-07-29" "650"
"577" "1976-07-30" "650"
"578" "1976-07-31" "648"
"579" "1976-08-01" "648"
"580" "1976-08-02" "646"
"581" "1976-08-03" "653"
"582" "1976-08-04" "652"
"583" "1976-08-05" "652"
"584" "1976-08-06" "648"
"585" "1976-08-07" "664"
"586" "1976-08-08" "664"
"587" "1976-08-09" "679"
"588" "1976-08-10" "696"
"589" "1976-08-11" "697"
"590" "1976-08-12" "701"
"591" "1976-08-13" "693"
"592" "1976-08-14" "694"
"593" "1976-08-15" "694"
"594" "1976-08-16" "694"
"595" "1976-08-17" "714"
"596" "1976-08-18" "715"
"597" "1976-08-19" "715"
"598" "1976-08-20" "705"
"599" "1976-08-21" "701"
"600" "1976-08-22" "700"
"601" "1976-08-23" "696"
"602" "1976-08-24" "712"
"603" "1976-08-25" "711"
"604" "1976-08-26" "715"
"605" "1976-08-27" "719"
"606" "1976-08-28" "724"
"607" "1976-08-29" "728"
"608" "1976-08-30" "733"
"609" "1976-08-31" "737"
"610" "1976-09-01" "741"
"611" "1976-09-02" "746"
"612" "1976-09-03" "735"
"613" "1976-09-04" "726"
"614" "1976-09-05" "726"
"615" "1976-09-06" "717"
"616" "1976-09-07" "730"
"617" "1976-09-08" "737"
"618" "1976-09-09" "771"
"619" "1976-09-10" "780"
"620" "1976-09-11" "781"
"621" "1976-09-12" "780"
"622" "1976-09-13" "781"
"623" "1976-09-14" "809"
"624" "1976-09-15" "818"
"625" "1976-09-16" "813"
"626" "1976-09-17" "796"
"627" "1976-09-18" "763"
"628" "1976-09-19" "763"
"629" "1976-09-20" "730"
"630" "1976-09-21" "745"
"631" "1976-09-22" "767"
"632" "1976-09-23" "766"
"633" "1976-09-24" "765"
"634" "1976-09-25" "755"
"635" "1976-09-26" "754"
"636" "1976-09-27" "744"
"637" "1976-09-28" "762"
"638" "1976-09-29" "768"
"639" "1976-09-30" "781"
"640" "1976-10-01" "773"
"641" "1976-10-02" "780"
"642" "1976-10-03" "779"
"643" "1976-10-04" "786"
"644" "1976-10-05" "843"
"645" "1976-10-06" "817"
"646" "1976-10-07" "816"
"647" "1976-10-08" "828"
"648" "1976-10-09" "806"
"649" "1976-10-10" "806"
"650" "1976-10-11" "783"
"651" "1976-10-12" "823"
"652" "1976-10-13" "834"
"653" "1976-10-14" "869"
"654" "1976-10-15" "857"
"655" "1976-10-16" "850"
"656" "1976-10-17" "850"
"657" "1976-10-18" "843"
"658" "1976-10-19" "853"
"659" "1976-10-20" "855"
"660" "1976-10-21" "871"
"661" "1976-10-22" "857"
"662" "1976-10-23" "855"
"663" "1976-10-24" "854"
"664" "1976-10-25" "852"
"665" "1976-10-26" "859"
"666" "1976-10-27" "862"
"667" "1976-10-28" "880"
"668" "1976-10-29" "886"
"669" "1976-10-30" "883"
"670" "1976-10-31" "883"
"671" "1976-11-01" "879"
"672" "1976-11-02" "904"
"673" "1976-11-03" "926"
"674" "1976-11-04" "937"
"675" "1976-11-05" "898"
"676" "1976-11-06" "902"
"677" "1976-11-07" "902"
"678" "1976-11-08" "905"
"679" "1976-11-09" "928"
"680" "1976-11-10" "945"
"681" "1976-11-11" "954"
"682" "1976-11-12" "957"
"683" "1976-11-13" "953"
"684" "1976-11-14" "953"
"685" "1976-11-15" "949"
"686" "1976-11-16" "953"
"687" "1976-11-17" "945"
"688" "1976-11-18" "937"
"689" "1976-11-19" "933"
"690" "1976-11-20" "939"
"691" "1976-11-21" "939"
"692" "1976-11-22" "946"
"693" "1976-11-23" "983"
"694" "1976-11-24" "988"
"695" "1976-11-25" "970"
"696" "1976-11-26" "957"
"697" "1976-11-27" "962"
"698" "1976-11-28" "962"
"699" "1976-11-29" "967"
"700" "1976-11-30" "999"
"701" "1976-12-01" "1011"
"702" "1976-12-02" "1007"
"703" "1976-12-03" "1022"
"704" "1976-12-04" "1018"
"705" "1976-12-05" "1018"
"706" "1976-12-06" "1014"
"707" "1976-12-07" "1030"
"708" "1976-12-08" "1014"
"709" "1976-12-09" "1023"
"710" "1976-12-10" "1041"
"711" "1976-12-11" "1034"
"712" "1976-12-12" "1034"
"713" "1976-12-13" "1027"
"714" "1976-12-14" "1030"
"715" "1976-12-15" "1049"
"716" "1976-12-16" "1065"
"717" "1976-12-17" "1067"
"718" "1976-12-18" "1046"
"719" "1976-12-19" "1046"
"720" "1976-12-20" "1025"
"721" "1976-12-21" "1035"
"722" "1976-12-22" "1020"
"723" "1976-12-23" "972"
"724" "1976-12-24" "975"
"725" "1976-12-25" "978"
"726" "1976-12-26" "981"
"727" "1976-12-27" "984"
"728" "1976-12-28" "988"
"729" "1976-12-29" "991"
"730" "1976-12-30" "994"
"731" "1976-12-31" "997"
"732" "1977-01-01" "1000"
"733" "1977-01-02" "1003"
"734" "1977-01-03" "1006"
"735" "1977-01-04" "1010"
"736" "1977-01-05" "1013"
"737" "1977-01-06" "1016"
"738" "1977-01-07" "1019"
"739" "1977-01-08" "1021"
"740" "1977-01-09" "1021"
"741" "1977-01-10" "1023"
"742" "1977-01-11" "1049"
"743" "1977-01-12" "1072"
"744" "1977-01-13" "1095"
"745" "1977-01-14" "1065"
"746" "1977-01-15" "1063"
"747" "1977-01-16" "1062"
"748" "1977-01-17" "1060"
"749" "1977-01-18" "1073"
"750" "1977-01-19" "1059"
"751" "1977-01-20" "1046"
"752" "1977-01-21" "1006"
"753" "1977-01-22" "989"
"754" "1977-01-23" "989"
"755" "1977-01-24" "972"
"756" "1977-01-25" "984"
"757" "1977-01-26" "988"
"758" "1977-01-27" "996"
"759" "1977-01-28" "1005"
"760" "1977-01-29" "1014"
"761" "1977-01-30" "1014"
"762" "1977-01-31" "1024"
"763" "1977-02-01" "1042"
"764" "1977-02-02" "1050"
